State,Honey producing colonies,Yield per colony,Production,Stocks December 15,Average price per pound,Value of production,Year
AL,41,20,820,33,0.54,443,1989
AZ,78,45,3510,1158,0.55,1931,1989
AR,34,61,2074,249,0.47,975,1989
CA,560,34,19040,2857,0.49,9330,1989
CO,50,66,3300,495,0.54,1782,1989
CT,2,40,80,48,1.05,84,1989
DE,1,10,10,5,1,10,1989
FL,250,60,15000,1050,0.48,7200,1989
GA,116,27,3132,125,0.56,1754,1989
HI,9,135,1215,510,0.45,547,1989
ID,140,54,7560,1361,0.46,3478,1989
IL,29,38,1102,452,0.78,860,1989
IN,28,35,980,647,0.72,706,1989
IA,67,90,6030,1448,0.45,2714,1989
KS,37,46,1702,426,0.48,817,1989
KY,12,29,348,132,1.08,376,1989
LA,35,85,2975,179,0.47,1398,1989
ME,17,24,408,41,0.77,314,1989
MD,9,16,144,32,0.77,111,1989
MA,8,23,184,50,1.39,256,1989
MI,102,70,7140,1642,0.56,3998,1989
MN,165,92,15180,3492,0.45,6831,1989
MS,24,33,792,79,0.44,348,1989
MO,33,62,2046,696,0.56,1146,1989
MT,100,63,6300,819,0.47,2961,1989
NE,119,62,7378,1476,0.46,3394,1989
NV,15,54,810,162,0.5,405,1989
NH,1,35,35,11,1.43,50,1989
NJ,25,23,575,265,0.69,397,1989
NM,23,50,1150,253,0.54,621,1989
NY,94,59,5546,1664,0.55,3050,1989
NC,25,38,950,266,0.64,608,1989
ND,290,56,16240,1137,0.47,7633,1989
OH,53,20,1060,413,0.67,710,1989
OK,9,65,585,164,0.87,509,1989
OR,63,39,2457,418,0.52,1278,1989
PA,41,39,1599,560,0.62,991,1989
RI,1,39,39,14,1.39,54,1989
SC,15,19,285,74,0.67,191,1989
SD,230,49,11270,2029,0.46,5184,1989
TN,25,25,625,25,0.74,463,1989
TX,140,56,7840,1647,0.49,3842,1989
UT,47,44,2068,579,0.54,1117,1989
VT,6,61,366,102,0.74,271,1989
VA,23,20,460,97,0.54,248,1989
WA,70,46,3220,579,0.45,1449,1989
WV,32,44,1408,732,0.77,1084,1989
WI,108,74,7992,1599,0.57,4555,1989
WY,41,47,1927,250,0.49,944,1989
US,3443,51.4,176957,32542,0.498,89418,1989
AL,29,38,1102,143,0.55,606,1990
AZ,67,48,3216,836,0.49,1576,1990
AR,42,84,3528,423,0.49,1729,1990
CA,480,42,20160,2218,0.54,10886,1990
CO,55,64,3520,845,0.66,2323,1990
CT,2,52,104,47,1.3,135,1990
DE,1,11,11,3,1.27,14,1990
FL,220,95,20900,1881,0.48,10032,1990
GA,111,50,5550,333,0.59,3275,1990
HI,10,157,1570,314,0.47,738,1990
ID,140,40,5600,784,0.48,2688,1990
IL,23,40,920,543,0.73,672,1990
IN,22,47,1034,259,0.73,755,1990
IA,70,54,3780,945,0.53,2003,1990
KS,36,67,2412,241,0.6,1447,1990
KY,8,44,352,127,0.92,324,1990
LA,38,89,3382,169,0.53,1792,1990
ME,20,24,480,77,0.64,307,1990
MD,7,19,133,33,0.9,120,1990
MA,15,13,195,43,1.29,252,1990
MI,100,80,8000,2560,0.56,4480,1990
MN,170,74,12580,1384,0.49,6164,1990
MS,24,62,1488,104,0.5,744,1990
MO,30,63,1890,567,0.57,1077,1990
MT,98,81,7938,1191,0.54,4287,1990
NE,118,56,6608,1189,0.49,3238,1990
NV,17,58,986,296,0.72,710,1990
NH,1,54,54,19,0.85,46,1990
NJ,15,21,315,107,0.9,284,1990
NM,29,71,2059,453,0.53,1091,1990
NY,81,54,4374,1094,0.65,2843,1990
NC,20,50,1000,120,0.71,710,1990
ND,210,82,17220,689,0.52,8954,1990
OH,42,51,2142,643,0.79,1692,1990
OK,9,50,450,149,0.78,351,1990
OR,61,42,2562,615,0.54,1383,1990
PA,41,28,1148,379,0.67,769,1990
RI,1,31,31,9,1.04,32,1990
SC,12,41,492,49,0.69,339,1990
SD,245,81,19845,3771,0.5,9923,1990
TN,19,33,627,138,0.99,621,1990
TX,140,67,9380,1501,0.59,5534,1990
UT,47,37,1739,539,0.56,974,1990
VT,6,65,390,207,0.86,335,1990
